MARVEL COMICS,,,,,
,JAN21 0620,DEMON DAYS X-MEN #1 YU VAR,03/03/21,SRP: $4.99, = $
,JAN21 0623,DEMON DAYS X-MEN #1 ARTGERM VAR,03/03/21,SRP: $4.99, = $
,JAN21 0626,DEMON DAYS X-MEN #1 GURIHIRU VAR,03/03/21,SRP: $4.99, = $
PAGE 43,,,,,
,JAN21 0628,X-MEN #19,03/31/21,SRP: $3.99, = $
,JAN21 0629,X-MEN #19 BARTEL EMMA FROST WOMENS HISTORY MONTH VAR,03/31/21,SRP: $3.99, = $
PAGE 44,,,,,
,JAN21 0630,X-FACTOR #8,03/10/21,SRP: $3.99, = $
PAGE 45,,,,,
,JAN21 0631,CABLE #9,03/24/21,SRP: $3.99, = $
PAGE 46,,,,,
,JAN21 0632,EXCALIBUR #19,03/24/21,SRP: $3.99, = $
,JAN21 0633,X-FORCE #18,03/17/21,SRP: $3.99, = $
,JAN21 0634,X-FORCE #18 LIEFELD DEADPOOL 30TH VAR,03/17/21,SRP: $3.99, = $
PAGE 47,,,,,
,JAN21 0635,HELLIONS #10,03/03/21,SRP: $3.99, = $
PAGE 48,,,,,
SPOT,JAN21 0636,DEADPOOL NERDY 30 #1,03/03/21,SRP: $5.99, = $
,JAN21 0637,DEADPOOL NERDY 30 #1 HAWTHORNE VAR,03/03/21,SRP: $5.99, = $
,JAN21 0638,DEADPOOL NERDY 30 #1 LIEFELD DEADPOOL 30TH VAR,03/03/21,SRP: $5.99, = $
PAGE 51,,,,,
,JAN21 0639,IRON FIST HEART OF DRAGON #3 (OF 6),03/17/21,SRP: $3.99, = $
,JAN21 0640,IRON FIST HEART OF DRAGON #3 (OF 6) VEREGGE VAR,03/17/21,SRP: $3.99, = $
PAGE 52,,,,,
SPOT,JAN21 0641,AVENGERS CURSE MAN-THING #1,03/31/21,SRP: $4.99, = $
,JAN21 0643,AVENGERS CURSE MAN-THING #1 SPROUSE VAR,03/31/21,SRP: $4.99, = $
,JAN21 0645,AVENGERS CURSE MAN-THING #1 CASSARA STORMBREAKERS VAR,03/31/21,SRP: $4.99, = $
PAGE 57,,,,,
,JAN21 0646,MILES MORALES SPIDER-MAN #24,03/24/21,SRP: $3.99, = $
,JAN21 0647,MILES MORALES SPIDER-MAN #24 LASHLEY MILES-THING VAR,03/24/21,SRP: $3.99, = $
PAGE 58,,,,,
,JAN21 0648,AMAZING SPIDER-MAN #61,03/10/21,SRP: $3.99, = $
,JAN21 0650,AMAZING SPIDER-MAN #61 MICHAEL CHO SPIDER-MAN TWO-TONE VAR,03/10/21,SRP: $3.99, = $
PAGE 59,,,,,
,JAN21 0651,AMAZING SPIDER-MAN #62,03/24/21,SRP: $3.99, = $
,JAN21 0653,AMAZING SPIDER-MAN #62 LAND SPIDER-MAN-THING VAR,03/24/21,SRP: $3.99, = $
PAGE 60,,,,,
,JAN21 0655,SPIDER-WOMAN #10,03/17/21,SRP: $3.99, = $
,JAN21 0656,SPIDER-WOMAN #10 RON LIM VAR,03/17/21,SRP: $3.99, = $
,JAN21 0657,SPIDER-WOMAN #10 MICHAEL CHO SPIDER-WOMAN TWO-TONE VAR,03/17/21,SRP: $3.99, = $
,JAN21 0658,SPIDER-WOMAN #10 BARTEL SPIDER-WOMAN WOMENS HISTORY MONTH VAR,03/17/21,SRP: $3.99, = $
PAGE 61,,,,,
,JAN21 0659,BLACK CAT #4 KIB,03/31/21,SRP: $3.99, = $
,JAN21 0660,BLACK CAT #4 BUSTOS VAR KIB,03/31/21,SRP: $3.99, = $
,JAN21 0661,BLACK CAT #4 BARTEL BLACK CAT WOMENS HISTORY MONTH VAR KIB,03/31/21,SRP: $3.99, = $
PAGE 63,,,,,
,JAN21 0663,CAPTAIN AMERICA #28,03/24/21,SRP: $3.99, = $
,JAN21 0664,CAPTAIN AMERICA #28 BROWN AVENGERS MECH STRIKE VAR,03/24/21,SRP: $3.99, = $
,JAN21 0665,CAPTAIN AMERICA #28 MICHAEL CHO CAPTAIN AMERICA TWO-TONE VAR,03/24/21,SRP: $3.99, = $
PAGE 64,,,,,
,JAN21 0666,IMMORTAL HULK #44 MICHAEL CHO HULK TWO-TONE VAR,03/10/21,SRP: $3.99, = $
PAGE 65,,,,,
,JAN21 0667,MAESTRO WAR AND PAX #3 (OF 5),03/24/21,SRP: $3.99, = $
,JAN21 0668,MAESTRO WAR AND PAX #3 (OF 5) JIMENEZ VAR,03/24/21,SRP: $3.99, = $
PAGE 66,,,,,
,JAN21 0669,AVENGERS #43,03/03/21,SRP: $3.99, = $
,JAN21 0671,AVENGERS #43 WEAVER CONNECTING VAR,03/03/21,SRP: $3.99, = $
,JAN21 0672,AVENGERS #43 ALEX ROSS TIMELESS VAR,03/03/21,SRP: $3.99, = $
,JAN21 0674,AVENGERS #43 ANT-MAN AND WASP TWO-TONE VAR,03/03/21,SRP: $3.99, = $
,JAN21 0675,AVENGERS #43 BARTEL SHE-HULK WOMENS HISTORY MONTH VAR,03/03/21,SRP: $3.99, = $
PAGE 67,,,,,
,JAN21 0676,IRON MAN #7,03/17/21,SRP: $3.99, = $
,JAN21 0677,IRON MAN #7 MICHAEL CHO IRON MAN TWO-TONE VAR,03/17/21,SRP: $3.99, = $
,JAN21 0678,IRON MAN #7 BARTEL HELLCAT WOMENS HISTORY MONTH VAR,03/17/21,SRP: $3.99, = $
PAGE 68,,,,,
,JAN21 0679,CAPTAIN MARVEL #27,03/17/21,SRP: $3.99, = $
,JAN21 0681,CAPTAIN MARVEL #27 CHANG CAPTAIN MARVEL-THING VAR,03/17/21,SRP: $3.99, = $
PAGE 69,,,,,
,JAN21 0682,BLACK PANTHER #24 BARTEL SHURI WOMENS HISTORY MONTH VAR,03/03/21,SRP: $3.99, = $
,JAN21 0683,BLACK PANTHER #24 MICHAEL CHO BLACK PANTHER TWO-TONE VAR,03/03/21,SRP: $3.99, = $
PAGE 70,,,,,
,JAN21 0684,THE UNION #4 (OF 5),03/31/21,SRP: $3.99, = $
,JAN21 0686,THE UNION #4 (OF 5) ARTIST VAR,03/31/21,SRP: $3.99, = $
PAGE 71,,,,,
,JAN21 0687,MARVEL #6 (OF 6),03/17/21,SRP: $4.99, = $
PAGE 72,,,,,
,JAN21 0689,GUARDIANS OF THE GALAXY #12,03/24/21,SRP: $3.99, = $
,JAN21 0690,GUARDIANS OF THE GALAXY #12 HETRICK GAMORA-THING VAR,03/24/21,SRP: $3.99, = $
PAGE 73,,,,,
,JAN21 0691,THOR #13,03/17/21,SRP: $3.99, = $
,JAN21 0693,THOR #13 MICHAEL CHO THOR TWO TONE VAR,03/17/21,SRP: $3.99, = $
PAGE 74,,,,,
,JAN21 0694,RUNAWAYS #34 ANKA VAR,03/03/21,SRP: $3.99, = $
,JAN21 0695,POWER PACK #4 (OF 5),03/03/21,SRP: $3.99, = $
PAGE 75,,,,,
,JAN21 0696,CHAMPIONS #5,03/17/21,SRP: $3.99, = $
,JAN21 0697,CHAMPIONS #5 PICHELLI MS MARVEL-THING VAR,03/17/21,SRP: $3.99, = $
PAGE 76,,,,,
,JAN21 0698,TASKMASTER #5 (OF 5),03/10/21,SRP: $3.99, = $
,JAN21 0699,TASKMASTER #5 (OF 5) TERRY VAR,03/10/21,SRP: $3.99, = $
,JAN21 0700,US AGENT #5 (OF 5),03/31/21,SRP: $3.99, = $
,JAN21 0701,US AGENT #5 (OF 5) RENAUD VAR,03/31/21,SRP: $3.99, = $
PAGE 77,,,,,
,JAN21 0702,DAREDEVIL #28 KIB,03/10/21,SRP: $3.99, = $
,JAN21 0703,DAREDEVIL #28 HEIGHT DAREDEVIL-THING VAR KIB,03/10/21,SRP: $3.99, = $
PAGE 78,,,,,
,JAN21 0704,STRANGE ACADEMY #9,03/10/21,SRP: $3.99, = $
